company_original,company_processed,matched_assignee_original,matched_assignee_processed,similarity_score,valid_match,notes
CONSTANT CONTACT INC,constant contact,"CONSTANT CONTACT, INC.",constant contact,1.0,True,
CONSTAR INTERNATIONAL INC,constar,Constar International LLC,constar,0.9999998807907104,True,
CONSTELLATION BRANDS,constellation brands,"Constellation Brands, Inc.",constellation brands,0.9999998807907104,True,
CONSTELLATION SOFTWARE INC,constellation software,Constellation Software Inc.,constellation software,1.0,True,
CONSULIER ENGINEERING INC,consulier engineering,"Consulier Engineering, Inc.",consulier engineering,1.0,True,
CONSUMERS ENERGY CO,consumers energy,Consumers Energy Company,consumers energy,1.0,True,
CONSYNE CORP,consyne,Consyne Corporation,consyne,1.0,True,
CONTAINER INDUSTRIES INC,container industries,Container Industries Inc.,container industries,1.0,True,
CONTAINER STORE GROUP,container store,"The Container Store, Inc.",container store,0.9999996423721313,True,
CONTECH INC,contech,"Contech International, LLC.",contech,1.0,True,
CONTEL CELLULAR INC,contel cellular,Contel Cellular Inc.,contel cellular,1.0,True,
CONTEL CORP,contel,Contel Corporation,contel,0.9999998211860657,True,
CONTEXTLOGIC INC,contextlogic,"CONTEXTLOGIC, INC.",contextlogic,1.0,True,
CONTICO INTERNATIONAL INC,contico,Contico,contico,1.0,True,
CONTINENTAL AG,continental,Continental AG,continental,1.0,True,
CONTINENTAL AG,continental,Continental AG,continental,1.0,True,
CONTINENTAL AG,continental,Continental AG,continental,1.0,True,
CONTINENTAL CIRCUITS CORP,continental circuits,"Continental Circuits, LLC",continental circuits,1.0,True,
CONTINEUM THERAPEUTICS INC,contineum therapeutics,"Contineum Therapeutics, Inc.",contineum therapeutics,1.0,True,
CONTRACAP INC,contracap,"Contracap, Inc.",contracap,0.9999998807907104,True,
CONTRAFECT CORP,contrafect,CONTRAFECT CORPORATION,contrafect,1.0,True,
CONTRAN CORP,contran,Contran Corporation,contran,1.0,True,
CONTROL CHIEF HOLDINGS INC,control chief,Control Chief Corporation,control chief,1.0,True,
CONTROL DATA SYSTEMS INC,control data systems,"Control Data System, Inc.",control data system,0.9641189575195312,True,
CONTROL DELIVERY SYSTEM INC,control delivery system,"Control Delivery Systems, Inc.",control delivery systems,0.9501301646232605,True,
CONTROL DEVICES INC,control devices,"Control Devices, LLC",control devices,1.0,True,
CONTROL4 CORP,control4,Control4 Corporation,control4,1.0,True,
CONVERA CORP,convera,Convera Corporation,convera,1.0,True,
CONVERGENT COMMUNICATIONS,convergent communications,"Convergent Communications, Inc.",convergent communications,1.0,True,
CONVERSANT INC,conversant,Conversant LLC,conversant,0.9999997615814209,True,
CONVERSE INC,converse,Converse Inc.,converse,1.0,True,
CONVERSION TECHNOLOGIES INTL,conversion technologies,"Conversion Technologies International, Inc.",conversion technologies,0.9999997615814209,True,
CONVEX COMPUTER CORP,convex computer,Convex Computer Corporation,convex computer,1.0,True,
CONWED CORP,conwed,Conwed Corporation,conwed,0.9999998807907104,True,
CONWOOD CORP,conwood,Conwood Corporation,conwood,1.0,True,
COOK ELECTRIC CO,cook electric,Cook Electric Company,cook electric,1.0,True,
COOK INTERNATIONAL INC,cook,Cook International,cook,1.0,True,
COOK PAINT & VARNISH,cook paint varnish,Cook Paint and Varnish Company,cook paint varnish,1.0,True,
COOPER INDUSTRIES PLC,cooper industries,Cooper Industries Holdings,cooper industries,1.0,True,
COOPER LABORATORIES,cooper laboratories,"Cooper Laboratories, Inc.",cooper laboratories,1.0,True,
COOPER-STANDARD HOLDINGS INC,cooper standard,COOPER STANDARD GMBH,cooper standard,1.0,True,
COORSTEK INC,coorstek,"CoorsTek, Inc.",coorstek,1.0,True,
COPART INC,copart,"Copart, Inc.",copart,0.9999998807907104,True,
COPE INC,cope,"Cope, Inc.",cope,1.0,True,
COPELAND CORP,copeland,Copeland LP,copeland,1.0,True,
COPLEY PHARMACEUTICAL INC,copley pharmaceutical,Copley Pharmaceutical Inc.,copley pharmaceutical,0.9999999403953552,True,
COPPER RANGE CO,copper range,"Copper Range, Inc.",copper range,1.0,True,
COPPERLEAF TECHNOLOGIES INC,copperleaf technologies,Copperleaf Technologies Inc.,copperleaf technologies,1.0,True,
COPPERWELD CORP,copperweld,Copperweld Corporation,copperweld,1.0,True,
COPSYNC INC,copsync,"COPsync, Inc.",copsync,1.0,True,
COR THERAPEUTICS INC,cor therapeutics,"COR Therapeutics, Inc.",cor therapeutics,1.0,True,
CORCO INC,corco,"Corco, Inc.",corco,0.9999997615814209,True,
CORCOM INC,corcom,"Corcom, Inc.",corcom,1.0,True,
CORDANT TECHNOLOGIES INC,cordant technologies,Cordant Technologies Inc.,cordant technologies,1.0,True,
CORDIS CORP,cordis,Cordis SA,cordis,1.0,True,
CORE INC,core,CORE,core,1.0,True,
CORE INDUSTRIES INC,core industries,"Core Industries, LLC",core industries,0.9999999403953552,True,
CORE LABORATORIES INC,core laboratories,CORE LABORATORIES LP,core laboratories,1.0,True,
CORE LABORATORIES INC,core laboratories,CORE LABORATORIES LP,core laboratories,1.0,True,
CORE SCIENTIFIC INC,core scientific,"Core Scientific, Inc.",core scientific,1.0,True,
COREL CORP,corel,Corel Corporation,corel,1.0,True,
CORETEC INC,coretec,The Coretec Group Inc.,coretec,0.9999999403953552,True,
CORETEC INC,coretec,The Coretec Group Inc.,coretec,0.9999999403953552,True,
CORGENIX MEDICAL CORP,corgenix medical,Corgenix Medical Corporation,corgenix medical,1.0,True,
CORIO INC,corio,"Corio, Inc.",corio,0.9999997615814209,True,
CORIUM INTERNATIONAL INC,corium,"Corium, LLC",corium,1.0,True,
CORIXA CORP,corixa,CORIXA CORPORATION,corixa,1.0,True,
CORMEDIX INC,cormedix,CorMedix Inc.,cormedix,1.0,True,
CORNELIUS CO,cornelius,CORNELIUS GROUP PLC,cornelius,1.0,True,
CORNERSTONE THERAPEUTICS INC,cornerstone therapeutics,"Cornerstone Therapeutics, Inc.",cornerstone therapeutics,1.0,True,
CORNING INC,corning,Corning Incorporated,corning,1.0,True,
CORONET INDUSTRIES INC,coronet industries,"Coronet Industries, Inc.",coronet industries,1.0,True,
CORRPRO COMPANIES INC,corrpro companies,"Corrpro Companies, Inc.",corrpro companies,0.9999998211860657,True,
CORSAIR COMMUNICATIONS INC,corsair communications,"Corsair Communications, Inc.",corsair communications,0.9999998807907104,True,
CORT BUSINESS SERVICES CORP,cort business services,CORT Business Services Corporation,cort business services,1.0,True,
CORTINA SYSTEMS INC-REDH,cortina systems redh,"CORTINA SYSTEMS, INC.",cortina systems,0.9568358659744263,True,
CORTRONIC CORP,cortronic,Cortronic Corporation,cortronic,1.0,True,
CORVAS INTERNATIONAL INC,corvas,"Corvas International, Inc.",corvas,1.0,True,
CORVEL CORP,corvel,CorVel Corporation,corvel,1.0,True,
CORVITA CORP,corvita,Corvita Corporation,corvita,1.0,True,
CORVUS PHARMACEUTICALS INC,corvus pharmaceuticals,"CORVUS PHARMACEUTICALS, INC.",corvus pharmaceuticals,1.0,True,
CORVUS SYSTEMS INC,corvus systems,"Corvus Systems, Inc.",corvus systems,1.0,True,
COSCO INC,cosco,"Cosco, Inc.",cosco,1.0,True,
COSINE COMMUNICATIONS INC,cosine communications,"Cosine Communications, Inc.",cosine communications,1.0,True,
COSMO COMMUNICATIONS CORP,cosmo communications,Cosmo Communications Corporation,cosmo communications,0.9999999403953552,True,
COSMOS GROUP HOLDINGS INC,cosmos,COSMOS LLC,cosmos,1.0,True,
COSTAR GROUP INC,costar,"CoStar Group, Inc.",costar,0.9999999403953552,True,
COSTAR GROUP INC,costar,"CoStar Group, Inc.",costar,0.9999999403953552,True,
COTEC HOLDINGS CORP,cotec,"COTEC, INC",cotec,1.0,True,
COTIVITI HOLDINGS INC,cotiviti,"COTIVITI, INC.",cotiviti,1.0,True,
COTY INC,coty,"COTY, INC.",coty,0.9999997615814209,True,
COUCHBASE INC,couchbase,"Couchbase, Inc.",couchbase,1.0,True,
COULTER PHARMACEUTICAL INC,coulter pharmaceutical,"Coulter Pharmaceutical, Inc.",coulter pharmaceutical,1.0,True,
COUNTERPATH CORP,counterpath,Counterpath Corporation,counterpath,1.0,True,
COUPA SOFTWARE INC,coupa software,Coupa Software Incorporated,coupa software,0.9999999403953552,True,
COUPANG INC,coupang,Coupang Corporation,coupang,1.0,True,
COURSERA INC,coursera,"Coursera, Inc.",coursera,1.0,True,
COURTAULDS PLC,courtaulds,Courtaulds PLC,courtaulds,0.9999996423721313,True,
COVAD COMMUNICATIONS GROUP,covad communications,Covad Communications Company,covad communications,1.0,True,
COVALON TECHNOLOGIES LTD,covalon technologies,"COVALON TECHNOLOGIES, LTD.",covalon technologies,0.9999997615814209,True,
COVANCE INC,covance,"Covance, Inc.",covance,1.0,True,
COVANTA ENERGY CORP,covanta energy,"COVANTA ENERGY, LLC",covanta energy,0.9999999403953552,True,
COVEO SOLUTIONS INC,coveo solutions,COVEO SOLUTIONS INC.,coveo solutions,1.0,True,
COVIA HOLDINGS CORP,covia,Covia Holdings LLC,covia,1.0,True,
COVIDIEN PLC,covidien,Covidien LP,covidien,1.0,True,
COVISINT CORP,covisint,"Covisint, LLC.",covisint,1.0,True,
COX COMMUNICATIONS INC,cox communications,"Cox Communications, Inc.",cox communications,1.0,True,
CPAC INC,cpac,"CPAC, Inc.",cpac,0.9999997615814209,True,
CPC OF AMERICA INC,cpc america,"CPC of America, Inc.",cpc america,1.0,True,
CPEX PHARMACEUTICALS INC,cpex pharmaceuticals,"CPEX Pharmaceutical, Inc.",cpex pharmaceutical,0.9849164485931396,True,
CPI CARD GROUP INC,cpi card,"CPI Card Group, Inc.",cpi card,1.0,True,
CPI CORP,cpi,CPI Corp,cpi,1.0,True,
CPI PLASTICS GROUP LTD,cpi plastics,CPI Plastics Group Ltd.,cpi plastics,1.0,True,
CPS CHEMICAL CO,cps chemical,"CPS Chemical Company, Inc.",cps chemical,0.9999998807907104,True,
CPS TECHNOLOGIES CORP,cps technologies,CPS Technologies,cps technologies,1.0,True,
CPT HOLDING CORP,cpt,CPT Group GmbH,cpt,1.0,True,
CRA INTERNATIONAL INC,cra,"CRA International, Inc.",cra,1.0,True,
CRAFT HOUSE CORP,craft house,Craft House Corporation,craft house,1.0,True,
CRAFTMADE INTERNATIONAL INC,craftmade,"Craftmade International, Inc.",craftmade,0.9999998807907104,True,
CRAGAR INDUSTRIES INC,cragar industries,"Cragar Industries, Inc.",cragar industries,1.0,True,
CRAIG CORP,craig,CRAIG HOLDINGS INCORPORATED,craig,1.0,True,
CRAMER INC,cramer,Cramer LLC,cramer,1.0,True,
CRANE CO,crane,"Crane & Co., Inc.",crane,0.9999998211860657,True,
CRAWFORD CORP,crawford,"CRAWFORD GROUP, INC.",crawford,0.9999998807907104,True,
CRAWFORD CORP,crawford,"CRAWFORD GROUP, INC.",crawford,0.9999998807907104,True,
CRAY COMPUTER CORP,cray computer,Cray Computer Corporation,cray computer,1.0,True,
CRAY INC,cray,Cray Inc.,cray,1.0,True,
CRAY RESEARCH,cray research,"Cray Research, Inc.",cray research,1.0,True,
CREATIVE BIOMOLECULES INC,creative biomolecules,"Creative BioMolecules, Inc.",creative biomolecules,1.0,True,
CREATIVE FOODS CORP,creative foods,"Creative Foods, LLC",creative foods,1.0,True,
CREATIVE MEDICAL SYSTEMS INC,creative medical systems,"Creative Medical Systems, Inc.",creative medical systems,1.0,True,
CREATIVE TECHNOLOGY LTD,creative technology,CREATIVE TECHNOLOGY LTD,creative technology,1.0,True,
CREDENCE SYSTEMS CORP,credence systems,Credence Systems Corporation,credence systems,1.0,True,
CREDIT ACCEPTANCE CORP,credit acceptance,Credit Acceptance Corporation,credit acceptance,1.0,True,
CREDIT SUISSE GROUP,credit suisse,CREDIT SUISSE AG,credit suisse,1.0,True,
CREDIT SUISSE USA INC,credit suisse usa,"Credit Suisse (USA), Inc.",credit suisse usa,1.0,True,
CREO INC,creo,Creo SRL,creo,0.9999999403953552,True,
CRESCITA THERAPEUTICS INC,crescita therapeutics,CRESCITA THERAPEUTICS INC.,crescita therapeutics,0.9999997615814209,True,
CRESCO LABS INC,cresco labs,"Cresco Labs, LLC",cresco labs,1.0,True,
CREST-FOAM CORP,crest foam,Crest-Foam Corporation,crest foam,1.0,True,
CRESTEK INC,crestek,"Crestek, Inc.",crestek,0.9999999403953552,True,
CREXENDO INC,crexendo,"CREXENDO, INC.",crexendo,1.0,True,
CRH MEDICAL CORP,crh medical,CRH MEDICAL CORPORATION,crh medical,1.0,True,
CRICKET MEDIA GROUP LTD,cricket media,"Cricket Media, Inc.",cricket media,1.0,True,
CRICUT INC,cricut,"Cricut, Inc.",cricut,0.9999998807907104,True,
CRISPR THERAPEUTICS AG,crispr therapeutics,CRISPR THERAPEUTICS AG,crispr therapeutics,1.0,True,
CRITEO SA,criteo,Criteo,criteo,1.0,True,
CRITICAL PATH INC,critical path,"Critical Path, Inc.",critical path,0.9999998807907104,True,
CRITICAL THERAPEUTICS INC,critical therapeutics,"Critical Therapeutics, Inc.",critical therapeutics,1.0,True,
CRITICARE SYSTEMS INC,criticare systems,"Criticare Systems, Inc.",criticare systems,1.0,True,
CROCS INC,crocs,"Crocs, Inc.",crocs,0.9999998211860657,True,
CROMPTON CO INC,crompton,Crompton Corporation,crompton,1.0,True,
CROP GENETICS INTL CORP,crop genetics,Crop Genetics International Corporation,crop genetics,1.0,True,
CROSS MEDICAL PRODUCTS INC,cross medical products,"Cross Medicalproducts, Inc.",cross medicalproducts,0.956775426864624,True,
CROSSKEYS SYSTEMS CORP,crosskeys systems,Crosskeys Systems Corporation,crosskeys systems,0.9999997615814209,True,
CROSSWINDS HOLDINGS INC,crosswinds,"Crosswinds, Inc.",crosswinds,1.0,True,
CROSSWORLDS SOFTWARE INC,crossworlds software,"CrossWorlds Software, Inc.",crossworlds software,0.9999998807907104,True,
CROUSE-HINDS CO,crouse hinds,Crouse-Hinds Company,crouse hinds,0.9999998807907104,True,
CROWDSTRIKE HOLDINGS INC,crowdstrike,"CrowdStrike, Inc.",crowdstrike,1.0,True,
CROWLEY MARITIME CORP,crowley maritime,Crowley Maritime Corporation,crowley maritime,1.0,True,
CROWN ANDERSEN INC,crown andersen,"Crown Andersen, Inc.",crown andersen,0.9999998807907104,True,
CROWN BRANDS INC,crown brands,Crown Brands Limited,crown brands,1.0,True,
CROWN CASTLE INC,crown castle,Crown Castle International Corp.,crown castle,0.9999999403953552,True,
CROWN CORK & SEAL CO LTD,crown cork seal,"Crown, Cork & Seal Company, Inc.",crown cork seal,1.0,True,
CROWN CORP,crown,"Crown International, Inc.",crown,0.9999998807907104,True,
CROWN CORP,crown,"Crown International, Inc.",crown,0.9999998807907104,True,
CROWN CRAFTS INC,crown crafts,"Crown Crafts International, Inc.",crown crafts,0.9999997615814209,True,
CROWN ELECTROKINETICS CORP,crown electrokinetics,Crown Electrokinetics Corp.,crown electrokinetics,1.0,True,
CROWN INDUSTRIES,crown industries,"Crown Industries, Inc.",crown industries,0.9999998211860657,True,
CROWN ZELLERBACH,crown zellerbach,Crown Zellerbach Corporation,crown zellerbach,1.0,True,
CRS ELECTRONICS INC,crs electronics,CRS Electronics,crs electronics,0.9999997615814209,True,
CRS ROBOTICS CORP,crs robotics,CRS Robotics Corporation,crs robotics,0.9999999403953552,True,
CRUCIBLE INC,crucible,The Crucible Group Pty Ltd,crucible,1.0,True,
CRUSADER HOLDING CORP,crusader,Crusader Corporation,crusader,0.9999994039535522,True,
CRUTCHER RESOURCES CORP,crutcher resources,Crutcher Resources Corporation,crutcher resources,0.9999997615814209,True,
CRYO-CELL INTERNATIONAL INC,cryo cell,"Cryo-Cell International, Inc.",cryo cell,0.9999997615814209,True,
CRYOCATH TECHNOLOGIES INC,cryocath technologies,CryoCath Technologies Inc.,cryocath technologies,1.0,True,
CRYOCOR INC,cryocor,"Cryocor, Inc.",cryocor,0.9999997615814209,True,
CRYODYNAMICS INC,cryodynamics,"CryoDynamics, Inc.",cryodynamics,0.9999997615814209,True,
CRYOGENIC ENGINEERING CO,cryogenic engineering,Cryogenic Engineering Company,cryogenic engineering,1.0,True,
CRYOPORT INC,cryoport,"Cryoport, Inc.",cryoport,1.0,True,
CRYPTOLOGIC LTD,cryptologic,Cryptologic Inc.,cryptologic,1.0,True,
CRYSTAL BRANDS,crystal brands,"Crystal Brands, Inc.",crystal brands,1.0,True,
CS DISCO INC,cs disco,"CS DISCO, INC.",cs disco,1.0,True,
CSC HOLDINGS LLC,csc,"CSC Holdings, LLC",csc,0.9999997615814209,True,
CSG SYSTEMS INTL INC,csg systems,"CSG Systems, Inc.",csg systems,1.0,True,
CSI TECHNOLOGIES INC,csi technologies,CSI TECHNOLOGIES LLC,csi technologies,1.0,True,
CSK CORP,csk,CSK Inc.,csk,1.0,True,
CSR PLC,csr,"CSR, Inc.",csr,1.0,True,
CSR PLC,csr,"CSR, Inc.",csr,1.0,True,
CSS INDUSTRIES INC,css industries,CSS Industries Inc,css industries,1.0,True,
CSX CORP,csx,CSX Corporation,csx,1.0,True,
CSX TRANSPORTATION INC,csx transportation,"CSX TRANSPORTATION, INC.",csx transportation,0.9999998807907104,True,
CTB INTERNATIONAL CORP,ctb,"CTB, Inc.",ctb,1.0,True,
CTG INC,ctg,"CTG, Inc.",ctg,1.0,True,
CTI BIOPHARMA CORP,cti biopharma,CTI BIOPHARMA CORP.,cti biopharma,1.0,True,
CTI GROUP HOLDINGS INC,cti,CTI International Limited,cti,1.0,True,
CTI GROUP HOLDINGS INC,cti,CTI International Limited,cti,1.0,True,
CTI MOLECULAR IMAGING INC,cti molecular imaging,"CTI Molecular Imaging, Inc.",cti molecular imaging,1.0,True,
CTS CORP,cts,CTS Corporation,cts,0.9999998211860657,True,
CUBIC CORP,cubic,Cubic Corporation,cubic,0.9999998807907104,True,
CUBICFARM SYSTEMS CORP,cubicfarm systems,Cubicfarm Systems Corp.,cubicfarm systems,1.0,True,
CUBIST PHARMACEUTICALS INC,cubist pharmaceuticals,Cubist Pharmaceuticals LLC,cubist pharmaceuticals,0.9999999403953552,True,
CUE BIOPHARMA,cue biopharma,"Cue Biopharma, Inc.",cue biopharma,0.9999998807907104,True,
CUE HEALTH INC,cue health,CUE HEALTH INC.,cue health,0.9999999403953552,True,
CULBRO CORP,culbro,Culbro Corporation,culbro,1.0,True,
CULLEN/FROST BANKERS INC,cullen frost bankers,"Cullen/Frost Bankers, Inc.",cullen frost bankers,1.0,True,
CULLIGAN INTERNATIONAL CO,culligan,CULLIGAN INTERNATIONAL COMPANY,culligan,1.0,True,
CUMBERLAND PHARMACEUTICALS,cumberland pharmaceuticals,Cumberland Pharmaceuticals Inc.,cumberland pharmaceuticals,1.0,True,
CUMMINS INC,cummins,Cummins Inc.,cummins,0.9999997615814209,True,
CUNO INC,cuno,CUNO Incorporated,cuno,0.9999999403953552,True,
CUPERTINO ELECTRIC INC,cupertino electric,"Cupertino Electric, Inc.",cupertino electric,1.0,True,
CURAEGIS TECHNOLOGIES INC,curaegis technologies,"CURAEGIS TECHNOLOGIES, INC.",curaegis technologies,1.0,True,
CURAGEN CORP,curagen,Curagen Corporation,curagen,1.0,True,
CURALEAF HOLDINGS INC,curaleaf,"Curaleaf, Inc.",curaleaf,1.0,True,
CURATIVE HEALTH SERVICES INC,curative health services,"Curative Health Services, Inc.",curative health services,0.9999999403953552,True,
CURIS INC,curis,Curis International,curis,1.0,True,
CURRENCY TECHNOLOGY CORP,currency technology,INTERNATIONAL CURRENCY TECHNOLOGY CORPORATION,currency technology,1.0,True,
CURRENT TECHNOLOGY CORP,current technology,"Current Technology, Inc.",current technology,1.0,True,
CURTIS INDUSTRIES INC,curtis industries,"Curtis Industries, LLC",curtis industries,0.9999999403953552,True,
CURTIS INTERNATIONAL LTD,curtis,"Curtis, Inc.",curtis,0.9999998807907104,True,
CURTIS NOLL CORP,curtis noll,Curtis Noll Corporation,curtis noll,1.0,True,
CURTISS-WRIGHT CORP,curtiss wright,Curtiss-Wright Corporation,curtiss wright,0.9999998211860657,True,
CUSHMAN ELECTRONICS INC,cushman electronics,"Cushman Electronics, Inc.",cushman electronics,1.0,True,
CUSTOM LABORATORIES INC,custom laboratories,"Custom Laboratories, Inc.",custom laboratories,1.0,True,
CUSTOM TRUCK ONE SOURCE INC,custom truck one source,"Custom Truck One Source, Inc.",custom truck one source,1.0,True,
CUTERA INC,cutera,"CUTERA, INC.",cutera,0.9999997615814209,True,
CUTLER-HAMMER INC,cutler hammer,"Cutler-Hammer, Inc.",cutler hammer,1.0,True,
CUTTER & BUCK INC,cutter buck,Cutter & Buck,cutter buck,1.0,True,
CV HOLDINGS INC,cv,"CV GROUP, LLC",cv,1.0,True,
CV SCIENCES INC,cv sciences,"CV Sciences, Inc.",cv sciences,1.0,True,
CV THERAPEUTICS INC,cv therapeutics,"CV Therapeutics, Inc.",cv therapeutics,0.9999999403953552,True,
CVC INC,cvc,"CVC, Inc.",cvc,1.0,True,
CVD EQUIPMENT CORP,cvd equipment,CVD Equipment Corporation,cvd equipment,1.0,True,
CVENT HOLDING CORP,cvent,CVENT INC.,cvent,1.0,True,
CVENT HOLDING CORP,cvent,CVENT INC.,cvent,1.0,True,
CVRX INC,cvrx,"CVRx, Inc.",cvrx,1.0,True,
CWC INDUSTRIES INC,cwc industries,CWC Industries,cwc industries,1.0,True,
CYAN INC,cyan,"Cyan, Inc.",cyan,1.0,True,
CYANOTECH CORP,cyanotech,Cyanotech Corporation,cyanotech,1.0,True,
CYBERARK SOFTWARE LTD,cyberark software,CYBERARK SOFTWARE LTD.,cyberark software,1.0,True,
CYBERCASH INC,cybercash,"CyberCash, Inc.",cybercash,1.0,True,
CYBERDEFENDER CORP,cyberdefender,CyberDefender Corporation,cyberdefender,1.0,True,
CYBERGOLD INC,cybergold,"Cybergold, Inc.",cybergold,1.0,True,
CYBERGUARD CORP,cyberguard,CyberGuard Corporation,cyberguard,1.0,True,
CYBEROPTICS CORP,cyberoptics,CyberOptics Corporation,cyberoptics,1.0,True,
CYBERSOURCE CORP,cybersource,CyberSource Corporation,cybersource,1.0,True,
CYBEX INTERNATIONAL INC,cybex,Cybex GmbH,cybex,1.0,True,
CYCLERION THERAPEUTICS,cyclerion therapeutics,"Cyclerion Therapeutics, Inc.",cyclerion therapeutics,0.9999999403953552,True,
CYCLO THERAPEUTICS INC,cyclo therapeutics,"Cyclo Therapeutics, Inc.",cyclo therapeutics,1.0,True,
CYCLOPS CORP,cyclops,Cyclops Corporation,cyclops,1.0,True,
CYCLOTRON CORP,cyclotron,"Cyclotron, Inc.",cyclotron,0.9999999403953552,True,
CYCOMM INTERNATIONAL INC,cycomm,Cycomm Corporation,cycomm,0.9999998211860657,True,
CYGNUS INC,cygnus,"Cygnus, LLC",cygnus,1.0,True,
CYLINK CORP,cylink,Cylink Corporation,cylink,1.0,True,
CYMABAY THERAPEUTICS INC,cymabay therapeutics,"CymaBay Therapeutics, Inc.",cymabay therapeutics,1.0,True,
CYMATICOLOR CORP,cymaticolor,Cymaticolor Corporation,cymaticolor,1.0,True,
CYMER INC,cymer,"Cymer, LLC",cymer,1.0,True,
CYNAPSUS THERAPEUTICS INC,cynapsus therapeutics,"Cynapsus Therapeutics, Inc.",cynapsus therapeutics,1.0,True,
CYNGN INC,cyngn,"CYNGN, INC.",cyngn,1.0,True,
CYNOSURE INC,cynosure,"Cynosure, LLC",cynosure,0.9999998807907104,True,
CYPRESS BIOSCIENCE INC,cypress bioscience,"Cypress Bioscience, Inc.",cypress bioscience,1.0,True,
CYPRESS SEMICONDUCTOR CORP,cypress semiconductor,Cypress Semiconductor Corporation,cypress semiconductor,0.9999998807907104,True,
CYPRUS AMAX MINERALS CO,cyprus amax minerals,Cyprus Amax Minerals Company,cyprus amax minerals,0.9999996423721313,True,
CYPRUS MINES CORP,cyprus mines,Cyprus Mines Corporation,cyprus mines,1.0,True,
CYREN LTD,cyren,"CYREN, INC.",cyren,0.9999996423721313,True,
CYRIX CORP,cyrix,Cyrix Corporation,cyrix,0.9999998807907104,True,
CYTEC INDUSTRIES INC,cytec industries,Cytec Industries Inc.,cytec industries,1.0,True,
CYTEIR THERAPEUTICS INC,cyteir therapeutics,"Cyteir Therapeutics, Inc.",cyteir therapeutics,0.9999998807907104,True,
CYTEK BIOSCIENCES INC,cytek biosciences,"Cytek Biosciences, Inc.",cytek biosciences,0.9999999403953552,True,
CYTODYN INC,cytodyn,Cytodyn Inc.,cytodyn,1.0,True,
CYTOGEN CORP,cytogen,"CYTOGEN, INC.",cytogen,1.0,True,
CYTOKINETICS INC,cytokinetics,"CYTOKINETICS, INC.",cytokinetics,1.0,True,
CYTOMX THERAPEUTICS INC,cytomx therapeutics,"CYTOMX THERAPEUTICS, INC.",cytomx therapeutics,1.0,True,
CYTOSORBENTS CORP,cytosorbents,"CytoSorbents, Inc.",cytosorbents,1.0,True,
CYTYC CORP,cytyc,CYTYC CORPORATION,cytyc,1.0,True,
D A B INDUSTRIES INC,d a b industries,"D.A.B. Industries, Inc.",d a b industries,1.0,True,
D-BOX TECHNOLOGIES INC,d box technologies,D-BOX TECHNOLOGIES INC.,d box technologies,1.0,True,
D2L INC,d2l,D2L Corporation,d2l,1.0,True,
DADE BEHRING HOLDINGS INC,dade behring,Dade Behring Inc.,dade behring,1.0,True,
DADE BEHRING HOLDINGS INC,dade behring,Dade Behring Inc.,dade behring,0.9999998807907104,True,
DAIEI INC,daiei,"Daiei Corporation CO, LTD",daiei,1.0,True,
DAIG CORP,daig,Daig Corporation,daig,1.0,True,
DAIMLER TRUCK HOLDING AG,daimler truck,Daimler Truck AG,daimler truck,1.0,True,
DAISY SYSTEMS CORP,daisy systems,Daisy Systems Corporation,daisy systems,1.0,True,
DAKTRONICS INC,daktronics,"Daktronics, Inc.",daktronics,0.9999997615814209,True,
DAL-TILE INTERNATIONAL INC,dal tile,"Dal-Tile, LLC",dal tile,1.0,True,
DALE ELECTRONICS INC,dale electronics,"Dale Electronics, Inc.",dale electronics,1.0,True,
DALEEN TECHNOLOGIES INC,daleen technologies,"Daleen Technologies, Inc.",daleen technologies,1.0,True,
DALLAS CORP,dallas,Dallas Corporation,dallas,1.0,True,
DALLAS SEMICONDUCTOR CORP,dallas semiconductor,Dallas Semiconductor Corporation,dallas semiconductor,1.0,True,
DALSA CORP,dalsa,DALSA Corporation,dalsa,1.0,True,
DAMES & MOORE GROUP,dames moore,Dames & Moore,dames moore,1.0,True,
DAMON BIOTECH INC,damon biotech,"Damon Biotech, Inc.",damon biotech,0.9999998807907104,True,
DAMON CORP,damon,Damon Corporation,damon,1.0,True,
DAMON CORP,damon,Damon Corporation,damon,1.0,True,
DANA INC,dana,DANA LIMITED,dana,1.0,True,
DANAHER CORP,danaher,DANAHER CORPORATION,danaher,1.0,True,
DANIEL INDUSTRIES,daniel industries,"Daniel Industries, Inc.",daniel industries,1.0,True,
DANIEL INTERNATIONAL CORP,daniel,Daniel International Corporation,daniel,1.0,True,
DANLY MACHINE CORP,danly machine,Danly Machine Corporation,danly machine,1.0,True,
DANT & RUSSELL INC,dant russell,"Dant & Russell, Inc.",dant russell,1.0,True,
DARA BIOSCIENCES INC,dara biosciences,"DARA BioSciences, Inc.",dara biosciences,1.0,True,
DARDEN RESTAURANTS INC,darden restaurants,"Darden Restaurants, Inc.",darden restaurants,1.0,True,
DARLING DELAWARE CO,darling delaware,"Darling-Delaware Company, Inc.",darling delaware,1.0,True,
DARLING INGREDIENTS INC,darling ingredients,Darling Ingredients Inc.,darling ingredients,1.0,True,
DAROX CORP,darox,Darox Corporation,darox,1.0,True,
DART INDUSTRIES,dart industries,Dart Industries Inc.,dart industries,0.9999999403953552,True,
DARYL INDUSTRIES INC,daryl industries,Daryl Industries Limited,daryl industries,0.9999998807907104,True,
DASA CORP,dasa,DASA LLC,dasa,0.9999998807907104,True,
